Vill_Th,count,unique,min,max,range,sum,mean,median,stddev,minority,majority,q1,q3,iqr
บ้านแม่ทะลบ,"26","21",9,511,502,1479,56.8846153846154,35,99.8796687261831,10,9,12,47,35
บ้านห้วยต้นตอง,"8","6",5,26,21,121,15.125,14.5,7.16654554161208,5,12,9.5,21,11.5
บ้านดอยหล่อ,"1","1",44,44,0,44,44,44,0,44,44,44,44,0
บ้านถ้ำง๊อบ,"6","6",9,89,80,164,27.3333333333333,14,28.3235277149973,9,9,10,28,18
บ้านปางโฮ้ง,"42","27",1,358,357,1571,37.4047619047619,12,80.5434102189944,3,4,4,23,19
บ้านปางมะโอ,"6","6",2,26,24,55,9.16666666666667,6.5,8.07086667520217,2,2,3,11,8
บ้านแม่แมะ,"13","9",1,73,72,176,13.5384615384615,5,19.3256122785496,3,1,3,19,16
บ้านแม่ซ้าย,"3","3",2,25,23,31,10.3333333333333,4,10.4029910228848,2,2,3,14.5,11.5
บ้านแม่ยะ,"3","3",9,37,28,57,19,11,12.7540843131393,9,9,10,24,14
บ้านแม่อ้อใน,"18","16",2,735,733,1198,66.5555555555556,16.5,169.358994847639,3,2,6,26,20
บ้านสบคาบ,"1","1",26,26,0,26,26,26,0,26,26,26,26,0
บ้านแก่งปันเต๊า,"3","3",2,26,24,32,10.6666666666667,4,10.8730042868667,2,2,3,15,12
บ้านวังมะริว,"6","6",1,36,35,92,15.3333333333333,9.5,13.3998341614945,1,1,5,31,26
บ้านใหม่,"8","6",1,18,17,42,5.25,3,5.23808170993924,1,2,2,6.5,4.5
บ้านหนองบัว,"15","12",2,128,126,297,19.8,6,31.2627573959816,2,6,4.5,16.5,12
บ้านหลวง,"28","19",3,162,159,735,26.25,10.5,35.6386878466165,4,10,5.5,29.5,24
บ้านแม่แพลม,"121","49",1,1943,1942,6004,49.6198347107438,9,189.694676652736,13,4,4,27,23
บ้านน้ำรู,"32","22",1,283,282,1135,35.46875,9.5,64.5121036971939,1,8,7,28,21
บ้านแกน้อย,"38","21",3,118,115,798,21,13,23.5181900485113,3,6,6,29,23
บ้านนาหวาย,"1","1",33,33,0,33,33,33,0,33,33,33,33,0
บ้านโล๊ะป่าหาญ,"1","1",7,7,0,7,7,7,0,7,7,7,7,0
บ้านโป่งอาง,"8","6",3,13,10,67,8.375,9,3.53332350627564,3,9,5,11.5,6.5
บ้านห้วยไส้,"5","5",2,23,21,49,9.8,5,8.28009661779378,2,2,3,16,13
บ้านไชยา,"8","6",2,31,29,75,9.375,7,8.46961480824246,2,5,5,9,4
บ้านอรุโนทัย,"21","17",2,410,408,752,35.8095238095238,10,85.3612039945097,2,3,5,35,30
บ้านเจียจันทร์,"21","14",2,123,121,367,17.4761904761905,6,29.1965735883006,3,2,4,12,8
บ้านหนองแขม,"35","27",1,128,127,671,19.1714285714286,12,23.5487163305418,1,2,5.5,26.5,21
บ้านรินหลวง,"4","3",2,10,8,30,7.5,9,3.20156211871642,2,9,5.5,9.5,4
บ้านหนองเขียว,"7","7",1,121,120,226,32.2857142857143,11,42.2161590108889,1,1,5,41.5,36.5
บ้านสัน,"2","2",1,3,2,4,2,2,1,1,1,1,3,2
บ้านเมืองงายเหนือ,"3","3",1,9,8,12,4,2,3.55902608401044,1,1,1.5,5.5,4
บ้านหัวโท,"2","2",3,7,4,10,5,5,2,3,3,3,7,4
บ้านหนองเต่า,"46","20",2,1284,1282,1889,41.0652173913044,9,186.532361357616,12,3,5,14,9
บ้านห้วยลึก,"58","31",2,98,96,1101,18.9827586206897,10.5,21.2030344114252,5,4,4,25,21
บ้านป่าตึงงาม,"4","4",3,69,66,128,32,28,26.2392835268039,3,3,7.5,56.5,49
บ้านออน,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
บ้านใหม่สามัคคี,"1","1",4,4,0,4,4,4,0,4,4,4,4,0
บ้านปางโม่,"7","6",3,29,26,89,12.7142857142857,12,7.34291272908365,3,12,10,12.5,2.5
บ้านแม่ป๋าม,"2","2",5,40,35,45,22.5,22.5,17.5,5,5,5,40,35
บ้านแม่มะกู้,"1","1",10,10,0,10,10,10,0,10,10,10,10,0
บ้านห้วยน้ำริน,"2","1",13,13,0,26,13,13,0,13,13,13,13,0
บ้านปางมะกง,"6","5",3,14,11,47,7.83333333333333,8,3.67045259092421,3,8,4,10,6
บ้านปิงโค้ง,"4","4",1,10,9,21,5.25,5,3.49106001094224,1,1,2,8.5,6.5
บ้านห้วยเป้า,"3","3",5,25,20,37,12.3333333333333,7,8.9938250421547,5,5,6,16,10
บ้านแม่กอน,"9","7",1,25,24,63,7,5,6.73300329224139,1,3,3,8,5
บ้านทุ่งข้าวพวง,"4","4",4,25,21,44,11,7.5,8.39642781187333,4,4,4.5,17.5,13
บ้านห้วยตีนตั่ง,"3","3",4,30,26,50,16.6666666666667,16,10.6249183003395,4,4,10,23,13
บ้านห้วยทรายขาว,"227","54",1,878,877,5247,23.1145374449339,9,71.1841015149203,17,4,5,17.5,12.5
บ้านแม่จา,"13","10",2,93,91,258,19.8461538461538,11,25.3948697237065,2,11,5,15,10
บ้านขุนคอง,"92","40",1,152,151,1906,20.7173913043478,11,28.006337049565,10,11,5.5,22.5,17
บ้านหัวเสือ,"2","2",2,13,11,15,7.5,7.5,5.5,2,2,2,13,11
บ้านแม่ปอน,"17","14",1,1056,1055,1855,109.117647058824,9,253.873030412713,1,3,6,77,71
บ้านอ่างกาน้อย,"12","12",3,1056,1053,1683,140.25,18,293.927747641037,3,3,10,66.5,56.5
บ้านแม่ยะน้อย(ม้ง),"9","8",3,1056,1053,1172,130.222222222222,7,327.579601107469,4,3,4,26,22
บ้านห้วยเฮี๊ยะ,"25","21",1,495,494,1734,69.36,15,125.119744245263,1,8,8,61,53
บ้านเด่น,"12","10",3,139,136,378,31.5,6.5,39.5674529548382,3,5,5,55,50
